Salary,Designation,JobCity,Gender,10percentage,10board,12percentage,12board,CollegeTier,Degree,Specialization,collegeGPA,CollegeState,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,12GradAge,GradAge,Period
350000,network engineer,-1,f,69.54,icse,64.43,icse,2,B.Tech/B.E.,CS,63.0,Uttar Pradesh,485,520,355,0.308400582860308,355,-1,-1,-1,-1,-1,-1,1.7465,1.9048,0.672,-0.2902,1.2528,20,20,10
325000,product development engineer,Noida,m,85.8,cbse,74.8,cbse,2,B.Tech/B.E.,EC,64.8,Uttar Pradesh,685,530,620,0.622642915849938,515,-1,-1,-1,-1,-1,-1,1.1336,1.0449,0.7785,-0.6147,-0.8608,22,22,9
250000,associate software developer,Gurgaon,m,60.8,cbse,66.66,cbse,2,MCA,CS,74.74,Delhi,465,585,515,0.911395278391328,545,-1,500,-1,-1,-1,-1,0.8463,1.0449,-1.0659,-1.6289,0.6721,17,17,1
120000,data entry operator,Gurgaon,m,65.0,state board,64.8,icse,2,B.Tech/B.E.,CS,69.54,Uttar Pradesh,465,495,515,0.563267823666597,425,-1,-1,-1,-1,-1,-1,-0.159,0.3789,1.3933,-0.2344,1.4386,22,22,0
325000,software engineer,Pune,f,79.0,cbse,62.2,cbse,2,B.Tech/B.E.,CS,76.3,Uttar Pradesh,485,445,435,0.864685413370085,525,-1,-1,-1,-1,-1,-1,0.8192,0.2668,-0.2714,-0.4078,-0.1295,20,20,9
320000,software engineer,Bangalore,f,91.2,karnataka secondary school of examination,84.63,state,2,B.Tech/B.E.,CS,78.15,Karnataka,455,535,445,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-0.1082,0.9688,0.5269,-0.2902,0.3444,18,18,2
200000,software engineer,-1,f,75.67,up,74.4,state,2,B.Tech/B.E.,CS,74.01,Uttar Pradesh,385,555,445,0.635978756456794,445,-1,-1,-1,-1,-1,-1,-1.0355,-0.5913,-1.3599,0.0622299999999999,-1.3539,21,21,1
190000,developer,Hyderabad,m,92.5,state board,95.2,state,2,B.Tech/B.E.,EC,76.0,Telangana,395,455,485,0.622642915849938,455,-1,-1,-1,-1,-1,-1,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,22,22,2
180000,electrical project engineer,Bangalore,m,70.0,state board,43.42,state,2,B.Tech/B.E.,EC,55.52,Karnataka,370,360,270,0.649389714846691,-1,356,-1,-1,-1,-1,-1,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,16,16,1
335000,programmer analyst,Hyderabad,m,88.0,state board,90.0,state,2,B.Tech/B.E.,CS,76.0,Telangana,625,555,630,0.356536487724475,475,-1,346,-1,-1,-1,-1,0.4155,0.8027,0.1357,-0.995,-0.6692,23,23,1
435000,systems analyst,Gurgaon,f,86.8,cbse,82.8,cbse,2,B.Tech/B.E.,CS,78.0,Haryana,575,585,575,0.744758354008939,565,-1,438,-1,-1,-1,-1,0.0464,1.2028,-0.9245,0.5323,-0.2875,21,21,11
345000,senior software engineer,Bangalore,m,90.88,karnataka state education examination board,82.5,state,2,B.Tech/B.E.,CS,66.15,Orissa,415,335,405,0.884122511593735,535,333,-1,313,-1,-1,320,0.8192,0.1888,-1.7954,1.8249,1.1343,18,18,2
300000,ase,Bangalore,m,76.8,state board,83.0,state,2,B.Tech/B.E.,EC,76.44,Uttar Pradesh,535,510,605,0.881620069530177,-1,420,-1,-1,-1,-1,-1,0.99,1.3779,0.7785,-0.2344,-0.6692,23,23,1
145000,telecommunication engineer,Noida,m,84.0,cbse,68.0,cbse,2,B.Tech/B.E.,EC,72.0,Uttar Pradesh,580,570,385,0.207392169717661,335,260,-1,-1,-1,313,-1,0.1282,0.7119,1.3933,-0.3612,-0.0943,24,24,0
220000,java software engineer,Gurgaon,m,64.0,cbse,74.0,cbse,2,B.Tech/B.E.,CS,68.0,Haryana,485,375,435,0.486747008438193,345,-1,376,-1,-1,-1,-1,-3.1994,-1.8393,0.0552,0.0623,-0.7615,22,22,0
530000,systems engineer,Hyderabad,m,84.0,ssc,92.0,state,2,B.Tech/B.E.,CS,77.2,Andhra Pradesh,475,405,695,0.670743151433127,455,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,19,19,12
340000,software engineer,Bangalore,m,77.2,state board,86.1,state,2,B.Tech/B.E.,CS,71.0,Tamil Nadu,560,485,450,0.622642915849938,485,-1,407,-1,-1,-1,-1,-0.0154,1.2114,1.0859,-1.5021,0.2889,22,22,1
360000,application developer,Noida,f,87.0,cbse,84.4,cbse,1,B.Tech/B.E.,CS,79.3,Delhi,570,475,295,0.413838255788123,385,-1,-1,-1,-1,-1,-1,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,21,21,10
145000,ios developer,Kolkata,m,73.0,state board,68.4,state,2,B.Tech/B.E.,CS,74.3,West Bengal,560,530,605,0.911395278391328,445,-1,500,-1,-1,-1,-1,-0.7335,0.5454,-0.7585,-0.6147,1.4386,22,22,9
215000,executive assistant,Bangalore,f,71.0,cbse,68.0,icse,2,B.Tech/B.E.,CS,70.86,Uttar Pradesh,430,510,405,0.356536487724475,465,-1,346,-1,-1,-1,-1,1.5644,1.0449,0.3174,-1.8824,1.0554,19,19,8
350000,online marketing manager,mohali,f,85.0,cbse,61.0,cbse,2,B.Tech/B.E.,EC,64.98,Punjab,570,475,430,0.622642915849938,-1,-1,-1,-1,-1,-1,-1,-0.4854,-0.5213,2.1129,-0.735,1.8224,20,20,9
270000,software engineer,Hyderabad,f,91.5,state board,93.8,state,1,B.Tech/B.E.,CS,74.1,Telangana,380,535,530,0.525922584252055,415,-1,-1,-1,-1,-1,-1,-1.0208,0.2124,0.4711,0.2727,-0.0943,22,22,10
80000,documentation specialist,Gurgaon,m,77.0,cbse,85.4,cbse,2,B.Tech/B.E.,EC,63.9,Punjab,475,605,415,0.649389714846691,435,356,-1,-1,-1,-1,-1,0.2718,0.5454,0.3174,-1.8824,-0.4776,23,23,5
330000,associate software engineer,Bangalore,m,52.33,state board,67.0,state,2,MCA,CS,77.15,Uttar Pradesh,450,525,545,0.735795709224656,475,-1,-1,-1,-1,-1,-1,-0.0154,1.2114,0.6248,0.7798,0.8637,21,21,9
200000,management trainee,-1,m,88.0,kerala state technical education,89.66,state,2,B.Tech/B.E.,EC,76.4,Kerala,510,640,635,0.124502074009537,-1,233,-1,-1,-1,-1,-1,0.3941,1.2808,0.2366,-2.1998,-0.4455,21,21,0
120000,site manager,Jhansi,m,66.6,cbse,68.6,state,2,B.Tech/B.E.,ME,60.22,Uttar Pradesh,425,595,475,0.130441735719574,-1,-1,-1,286,-1,-1,-1,-0.4173,0.3448,0.0914,-0.4078,0.6603,19,19,1
145000,software developer,Delhi,m,75.0,cbse,60.0,cbse,2,B.Tech/B.E.,CS,66.0,Uttar Pradesh,380,545,460,0.356536487724475,395,-1,346,-1,-1,-1,-1,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,22,22,0
350000,associate software engineer,Bangalore,m,91.4,icse,73.0,cbse,1,B.Tech/B.E.,CS,71.0,Uttar Pradesh,555,560,825,0.23780283983757,525,-1,315,-1,-1,-1,-1,-0.0154,0.2578,-0.5349,-1.1218,-1.359,21,21,9
120000,.net developer,Hyderabad ,m,59.0,state board,87.7,state,2,B.Tech/B.E.,EC,71.04,Telangana,300,340,355,0.112139438207403,155,228,-1,-1,-1,-1,-1,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,23,23,1
380000,programmer analyst,Bangalore ,f,84.5,cbse,82.5,cbse,2,B.Tech/B.E.,CS,92.1,Karnataka,425,525,515,0.377551419424541,375,-1,-1,-1,-1,-1,-1,0.51,0.6568,-0.6343,0.2973,0.1864,19,19,3
110000,production engineer,Chennai,m,95.8,state board,87.16,state,2,B.Tech/B.E.,ME,79.0,Tamil Nadu,430,395,500,0.0669607065028304,-1,-1,-1,253,-1,-1,-1,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,22,22,1
205000,jr. software engineer,noida,f,85.6,cbse,82.0,cbse,2,B.Tech/B.E.,CS,74.01,Haryana,370,495,455,0.0800552813405495,445,-1,253,-1,-1,-1,-1,0.1282,0.5454,0.1637,-0.4879,0.8637,21,21,2
95000,software developer,delhi,m,69.6,bseb,71.4,state,2,B.Tech/B.E.,CS,77.0,Orissa,485,415,575,0.925645767094482,-1,-1,-1,-1,-1,-1,-1,-0.4173,0.6568,-0.7794,1.7074,0.1864,22,22,1
390000,software engineer,Bangalore,m,86.6,cbse,75.0,cbse,2,B.Tech/B.E.,CS,74.0,Madhya Pradesh,505,545,565,0.356536487724475,475,-1,346,-1,-1,-1,-1,-2.5039,0.0328,0.3817,0.26793,0.5024,21,21,10
270000,qa analyst,Bangalore,m,81.92,state board,61.46,state,2,B.Tech/B.E.,CS,57.54,Karnataka,565,465,415,0.843123726665742,515,-1,-1,-1,-1,-1,-1,1.2828,1.7488,1.8331,-2.2879,1.1343,19,19,2
60000,trainee software developer,Bhubaneswar,f,66.5,cbse,49.5,state,2,MCA,CS,89.7,Orissa,505,505,485,0.916869961103619,555,-1,-1,-1,-1,-1,-1,-1.0355,0.0328,-2.2308,1.0024,0.3444,18,18,2
120000,ui developer,Hyderabad,m,80.0,state board,72.5,state,2,B.Tech/B.E.,CS,57.8,Andhra Pradesh,580,485,455,0.783303536670298,405,388,-1,-1,-1,-1,-1,-0.4463,-0.1206,-1.0659,-0.1076,-1.244,21,21,8
400000,software engineer,Navi Mumbai,m,85.2,icse,81.5,icse,2,B.Tech/B.E.,CS,57.64,Uttar Pradesh,545,385,485,0.600057182338341,435,-1,-1,-1,-1,-1,-1,1.1336,0.3789,1.0859,0.653,0.2889,22,22,8
350000,assistant system engineer,Mumbai,m,89.25,state board,78.0,state,2,B.Tech/B.E.,EL,80.0,West Bengal,570,510,545,0.79293627759454,-1,-1,-1,-1,484,-1,-1,-0.159,-0.1206,-0.6048,-1.6289,-1.4356,21,21,9
120000,android developer,New Delhi,f,58.4,cbse,64.8,cbse,2,MCA,CS,80.0,Haryana,440,415,554,0.793580614548506,495,-1,-1,-1,-1,-1,-1,0.335,0.0924,-0.6582,-0.4821,-0.1543,22,22,9
250000,software engineer,Mangalore,m,90.8,state board,90.1,state,2,B.Tech/B.E.,CS,67.7,Karnataka,525,530,595,0.486747008438193,485,-1,376,-1,-1,-1,-1,-0.3027,0.7119,-0.2974,1.1601,-0.4776,22,22,9
240000,customer service,Rewari,f,78.0,cbse,70.1,cbse,2,B.Tech/B.E.,EC,68.2,Haryana,415,595,495,0.694479327708463,-1,366,-1,-1,-1,-1,-1,0.8192,-0.0842,-0.598,-0.6428,-0.6035,19,19,10
525000,test engineer,Hyderabad,f,89.88,cbse,95.4,cbse,2,B.Tech/B.E.,EC,80.8,Telangana,555,475,635,0.694479327708463,-1,366,-1,-1,-1,420,-1,0.3555,-0.2793,-0.6343,-0.2902,-0.2875,19,19,11
200000,project engineer,Gaziabaad,m,63.3,state board,61.1,state,2,B.Tech/B.E.,EC,66.9,Uttar Pradesh,420,510,665,0.112139438207403,-1,228,-1,-1,-1,-1,-1,-1.0208,-0.6201,-0.2974,-0.1076,-1.244,20,20,1
120000,software engineer,Bangalore,m,72.0,cbse,49.0,state,2,B.Tech/B.E.,CS,55.0,Karnataka,640,460,250,0.525922584252055,415,300,-1,366,-1,-1,400,-0.3014,-0.4353,-0.9245,-0.349,-0.4455,7,7,4
305000,software engineer,Chennai,f,83.0,state board,79.0,state,2,B.Tech/B.E.,CS,70.0,Telangana,430,410,310,0.165633091512476,305,-1,-1,-1,-1,-1,-1,-0.159,-0.1206,0.1637,1.5404,-0.0943,21,21,10
300000,java developer,Chennai,m,85.3,state board,88.3,state,2,B.Tech/B.E.,CS,85.0,Tamil Nadu,370,375,325,0.356536487724475,315,-1,346,-1,-1,-1,-1,1.8517,1.5444,0.3174,0.3995,0.6721,23,23,1
145000,engineer,Noida,f,81.0,cbse,77.8,cbse,2,B.Tech/B.E.,EC,65.35,Uttar Pradesh,535,510,390,0.207392169717661,-1,260,-1,-1,-1,260,-1,-1.1644,-0.9531,0.01,-0.7415,-0.8608,21,21,9
150000,management trainee,Bhiwadi,m,60.66,up,62.4,state,2,B.Tech/B.E.,ME,69.3,Uttar Pradesh,370,410,470,0.755375120895548,315,-1,-1,446,-1,-1,-1,-2.2351,-2.6847,-2.6028,0.3995,-5.477,22,22,1
600000,java software engineer,Gurgaon,m,78.0,cbse,83.0,cbse,1,B.Tech/B.E.,CS,72.13,Delhi,444,555,695,0.999904558268382,804,-1,-1,-1,-1,-1,-1,0.6646,0.3448,0.8171,0.6498,0.0284,16,16,2
310000,system engineer,Mysore,m,89.37,state board,79.0,state,2,B.Tech/B.E.,EC,70.0,West Bengal,630,580,510,0.338786347219528,-1,292,-1,-1,-1,-1,-1,0.99,1.2114,-0.2974,-1.1218,1.247,20,20,0
455000,system engineer,Bangalore,m,90.0,"state board of secondary education, andhra pradesh",94.4,state,2,B.Tech/B.E.,EC,76.12,Andhra Pradesh,505,525,595,0.124502074009537,615,233,-1,-1,-1,-1,-1,-0.2628,-0.1232,0.0914,-1.2303,-0.1295,19,19,2
400000,test engineer,Bangalore,f,81.0,icse,79.0,icse,2,B.Tech/B.E.,EC,71.5,Uttar Pradesh,510,500,575,0.493596387301038,455,324,-1,-1,-1,-1,-1,-1.8825,-3.7836,-2.4491,0.9066,-1.8189,21,21,1
150000,recruitment coordinator,Chennai,f,78.0,matriculation,86.67,state,2,B.Tech/B.E.,EC,77.55,Tamil Nadu,535,465,535,0.910770164246022,445,433,-1,-1,-1,-1,-1,-0.880999999999999,1.4368,0.3817,-0.4078,-0.1295,19,19,2
250000,software developer,Mangalore,m,84.4,cbse,73.2,cbse,2,B.Tech/B.E.,CS,70.0,Punjab,570,410,535,0.670743151433127,455,-1,-1,-1,-1,-1,-1,-0.0154,0.8784,0.01,-0.7415,-0.2859,23,23,8
320000,system engineer,Chennai,m,89.0,state board,92.0,state,2,B.Tech/B.E.,EL,76.4,Telangana,625,645,605,0.982057124317279,385,388,-1,-1,606,-1,-1,-1.4517,-1.4526,-1.2196,1.794,-2.3937,22,22,9
250000,java software engineer,Rajkot,m,86.0,gujarat state board,64.0,state,2,B.Tech/B.E.,CS,61.17,Gujarat,665,545,415,0.911395278391328,405,-1,500,-1,-1,-1,-1,1.1336,1.3779,2.1617,-0.995,1.0554,20,20,9
200000,technical support engineer,Bangalore,m,85.0,icse,75.0,cbse,2,B.Tech/B.E.,CS,60.0,Karnataka,675,480,500,0.842248322257836,425,-1,469,-1,-1,-1,-1,1.1336,1.0449,0.1637,-1.2486,0.0973,22,22,1
240000,android developer,Greater Noida,m,75.0,cbse,64.0,cbse,2,B.Tech/B.E.,CS,67.0,Uttar Pradesh,510,480,485,0.622642915849938,-1,-1,-1,-1,-1,-1,-1,-0.159,0.8784,1.2396,0.2727,-0.6692,22,22,1
120000,data analyst,Indore,f,86.0,state board,77.0,state,2,B.Tech/B.E.,CS,75.0,Madhya Pradesh,325,510,295,0.0185409416754305,415,-1,192,-1,-1,-1,-1,0.1282,0.0459,0.1637,0.0192,-0.0943,21,21,0
300000,programmer analyst,Bangalore,m,70.6,cbse,78.67,state,2,B.Tech/B.E.,EC,75.84,Karnataka,580,485,510,0.0531603052826837,285,196,-1,-1,-1,-1,-1,0.5591,0.2124,-1.2196,-0.7415,-0.8608,22,22,9
800000,software engineer,Bangalore,m,93.44,karnataka state board,90.0,state,2,B.Tech/B.E.,CS,87.6,Karnataka,515,475,635,0.942116551485008,575,-1,-1,-1,-1,-1,-1,-0.4173,0.9688,-0.1988,-0.2902,0.3049,21,21,11
120000,test engineer,-1,m,76.0,state board,72.0,state,2,B.Tech/B.E.,CS,63.2,Tamil Nadu,510,355,340,0.123016731640823,285,-1,-1,-1,-1,-1,-1,-0.159,-0.2871,0.4711,0.2727,-0.4776,22,22,9
325000,system engineer,Mysore,f,86.4,cbse,78.2,cbse,2,B.Tech/B.E.,EC,73.5,Karnataka,535,435,440,0.207392169717661,355,260,530,-1,-1,-1,-1,0.8463,1.3779,1.3933,0.653,-0.2859,23,23,1
100000,software developer,-1,f,86.0,state board,95.0,state,2,B.Tech/B.E.,EC,78.6,Telangana,405,545,450,0.649389714846691,375,356,-1,-1,-1,-1,-1,0.5591,-0.4536,0.01,-0.4879,0.6721,22,22,1
300000,assistant software engineer,Bangalore,m,84.83,cbse,82.4,cbse,2,B.Tech/B.E.,CS,74.14,Uttar Pradesh,665,595,705,0.744758354008939,505,-1,438,-1,-1,-1,-1,-0.4463,0.2124,0.3174,-1.5021,-0.2859,22,22,9
280000,faculty,New Delhi,m,72.3,icse,60.2,cbse,2,B.Tech/B.E.,EC,69.38,Rajasthan,555,475,415,0.694479327708463,-1,366,-1,-1,-1,393,-1,1.4208,0.5454,-0.2974,1.0333,-0.6692,20,20,1
215000,entry level management trainee,New Delhi,f,69.0,cbse,62.6,cbse,2,B.Tech/B.E.,EL,76.25,Madhya Pradesh,395,455,475,0.694479327708463,195,366,-1,-1,-1,-1,-1,-0.4173,0.1888,-0.4891,0.4148,0.8183,17,17,1
145000,customer service representative,Jaipur,m,80.0,state board,70.0,state,2,B.Tech/B.E.,EC,55.0,Rajasthan,430,450,385,0.622642915849938,-1,-1,-1,-1,-1,-1,-1,0.1282,-0.1206,0.9322,1.5404,0.0973,23,23,0
445000,software test engineer,Pune,f,73.33,cbse,71.33,cbse,2,MCA,CS,61.0,Maharashtra,375,535,534,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-2.272,-0.2793,-1.2148,0.8848,-0.7615,17,17,12
315000,firmware engineer,noida ,m,86.16,cbse,70.08,cbse,2,B.Tech/B.E.,EC,63.13,Uttar Pradesh,455,595,500,0.207392169717661,225,260,-1,-1,-1,-1,-1,0.99,1.0449,1.7007,-2.0092,0.2889,23,23,8
100000,php developer,Kolkata,f,75.0,state board,78.0,state,2,B.Tech/B.E.,CS,71.1,West Bengal,415,440,355,0.488347976782714,405,-1,-1,-1,-1,-1,-1,0.8463,1.3779,1.0859,-0.995,1.247,17,17,2
200000,software developer,Noida,m,56.0,cbse,56.0,state,2,MCA,CS,62.0,Uttar Pradesh,605,470,355,0.843123726665742,515,-1,-1,-1,-1,-1,-1,0.7027,0.8784,0.3174,-1.1218,0.4805,22,22,0
220000,research associate,Hyderabad,f,87.0,cbse,60.0,cbse,2,B.Tech/B.E.,CS,70.82,Uttar Pradesh,640,605,400,0.842248322257836,425,-1,469,-1,-1,-1,-1,0.8463,1.2114,1.2396,-0.1076,1.247,22,22,9
370000,project engineer,Kolkata,m,79.25,wbbse,80.0,state,2,B.Tech/B.E.,CS,79.9,West Bengal,545,580,430,0.635978756456794,445,-1,-1,-1,-1,-1,-1,0.8192,1.0858,-0.4891,-0.7603,-0.1295,21,21,10
145000,research analyst,Pune,m,88.66,maharashtra state board,84.33,state,2,B.Tech/B.E.,EC,60.0,Maharashtra,495,565,575,0.376059586651545,335,300,-1,-1,-1,260,-1,1.2828,1.7878,1.1437,-0.6428,0.5024,21,21,10
275000,quality engineer,Bangalore,m,80.8,state board,75.0,state,2,B.Tech/B.E.,EC,77.38,Karnataka,405,470,370,0.622642915849938,475,-1,500,-1,-1,-1,-1,1.4208,-0.7866,-0.1437,-1.5021,-0.4776,21,21,1
1500000,application developer,Hyderabad,m,79.0,state board,87.9,state,2,B.Tech/B.E.,CS,66.0,Telangana,315,435,355,0.356536487724475,335,-1,346,-1,-1,-1,-1,0.4155,0.5454,0.9322,-0.6147,0.8637,22,22,0
325000,software engineer,Gurgaon,m,70.0,icse,65.0,cbse,2,B.Tech/B.E.,CS,66.0,Chhattisgarh,405,470,545,0.622642915849938,-1,-1,-1,-1,-1,-1,-1,0.4155,0.3789,-0.9122,-1.1218,-0.8608,22,22,1
275000,programmer,Bangalore,m,81.16,icse,68.5,icse,2,B.Tech/B.E.,EC,61.5,Orissa,605,520,325,0.338786347219528,455,292,-1,-1,-1,-1,-1,1.4208,1.2114,0.6248,-0.995,-0.2859,20,20,0
425000,systems engineer,HYDERABAD,f,83.5,ssc,94.2,state,2,B.Tech/B.E.,CS,88.2,Andhra Pradesh,515,475,445,0.670743151433127,455,-1,-1,-1,-1,-1,-1,0.6646,1.4368,-0.0537,0.884829999999999,0.5024,20,20,11
450000,software engineer,Bangalore,m,65.0,icse board,66.0,icse,2,B.Tech/B.E.,CS,64.0,Uttar Pradesh,515,565,554,0.600057182338341,435,-1,-1,-1,-1,-1,-1,-0.7264,0.1888,-1.2148,-0.5253,1.1343,18,18,3
300000,software developer,Bangalore,f,88.0,state board,88.0,state,2,B.Tech/B.E.,CS,70.12,Andhra Pradesh,710,605,605,0.744758354008939,405,-1,438,-1,-1,-1,-1,0.5591,1.2114,1.8543,0.1459,0.0973,22,22,9
470000,senior systems engineer,Jaipur,m,79.0,cbse,76.6,cbse,2,B.Tech/B.E.,CS,77.85,Rajasthan,635,495,495,0.670743151433127,455,-1,-1,-1,-1,-1,-1,0.8192,-0.5913,0.2366,-0.7603,-0.1295,18,18,12
120000,technical support executive,-1,m,55.6,state board,50.8,state,2,MCA,CS,80.03,West Bengal,440,425,370,0.23780283983757,415,-1,315,-1,-1,-1,-1,-0.0154,0.8784,1.2396,1.2869,0.8637,18,18,9
300000,business analyst,Bangalore,m,75.0,state board,72.0,state,2,B.Tech/B.E.,CS,80.0,Uttar Pradesh,475,470,415,0.911395278391328,595,-1,500,-1,-1,-1,-1,0.8463,1.0449,1.3933,-1.6289,-0.2859,22,22,0
205000,electrical engineer,Chennai,m,84.6,cbse,66.5,cbse,2,B.Tech/B.E.,EC,66.7,Tamil Nadu,345,255,395,0.0587928000083534,195,200,-1,-1,-1,-1,-1,-0.1082,0.0328,-0.1988,0.2973,-0.7615,19,19,12
310000,software engineer,Pune,m,79.0,state board,76.4,state,2,B.Tech/B.E.,EC,65.0,Maharashtra,605,510,515,0.622642915849938,345,-1,346,-1,-1,-1,-1,1.7081,0.8784,1.547,-1.6289,-0.0943,19,19,10
300000,qa analyst,-1,f,62.0,cbse,61.0,cbse,2,B.Tech/B.E.,CS,70.0,Haryana,250,305,385,0.10487135986097,275,-1,-1,-1,-1,-1,-1,-0.5116,0.8229,0.8809,0.0192,1.6302,21,21,9
460000,technical support engineer,-1,m,62.0,state board,61.0,state,2,M.Tech./M.E.,CS,63.0,Punjab,465,595,605,0.793580614548506,495,-1,-1,-1,-1,-1,-1,-1.1644,-1.6191,-1.2196,-0.1076,-2.2021,20,20,10
320000,assistant system engineer,-1,m,86.0,state board,92.0,state,2,B.Tech/B.E.,EC,72.0,Andhra Pradesh,350,590,570,0.493596387301038,415,324,-1,-1,-1,-1,-1,0.8463,0.0459,-0.2974,-0.7415,-0.4776,23,23,8
340000,application developer,Navi Mumbai,f,85.8,cbse,65.8,cbse,2,B.Tech/B.E.,CS,69.7,Uttar Pradesh,615,630,750,0.622642915849938,485,-1,407,-1,-1,-1,-1,0.8463,1.0449,0.01,-0.2344,0.4805,23,23,1
120000,android developer,Noida,m,68.4,state board,61.0,state,2,B.Tech/B.E.,CS,62.2,Rajasthan,440,375,330,0.23780283983757,455,-1,315,-1,-1,-1,-1,-1.7389,-1.2861,-0.4511,0.7798,-1.8189,22,22,1
100000,web developer,Noida,m,51.0,up board,48.0,state,2,MCA,CS,59.0,Uttar Pradesh,275,365,395,0.525922584252055,415,-1,-1,-1,-1,-1,-1,0.2009,-0.2793,0.2366,1.4724,0.0284,15,15,1
